carat,cut,color,clarity,price
0.51,Ideal,F,VS2,1431
0.33,Ideal,F,VVS1,1141
0.7,Ideal,E,SI1,3330
1.51,Ideal,E,SI1,11628
0.3,Premium,J,SI2,405
1.09,Premium,E,SI2,5127
1.23,Ideal,I,VVS2,7256
0.5,Ideal,I,SI1,1076
0.71,Premium,E,SI1,2554
0.72,Ideal,E,VS2,2691
0.33,Premium,G,VS1,854
1.52,Very Good,I,VS1,9576
1.23,Ideal,G,VS1,9116
0.54,Ideal,G,VVS2,1829
0.32,Ideal,F,VS2,828
1.31,Premium,E,SI1,8767
1.11,Ideal,D,SI2,5648
1.03,Very Good,H,SI2,4283
0.56,Ideal,J,VS2,1131
1.29,Very Good,H,SI2,5601
0.53,Ideal,G,VS2,1577
1.7,Premium,I,VS2,11257
0.3,Ideal,F,VS1,615
0.32,Premium,H,VVS2,828
1.51,Good,H,VS2,10763
0.43,Ideal,E,SI1,1016
0.3,Very Good,G,VS1,620
3,Good,E,I1,11548
0.75,Ideal,J,SI2,1944
0.9,Very Good,H,VVS2,4617
0.58,Very Good,D,SI1,1785
1.01,Very Good,H,SI1,4619
0.3,Good,F,VS2,484
0.79,Ideal,E,SI1,3053
0.71,Ideal,G,SI1,2233
1.01,Premium,G,SI1,4525
1.01,Very Good,D,VVS2,10453
1.01,Very Good,H,VS1,5687
1.2,Premium,G,VS2,7795
0.27,Very Good,D,VS1,470
0.56,Ideal,I,VVS1,1616
0.41,Ideal,E,VVS1,1431
0.72,Ideal,F,VVS2,3740
0.55,Ideal,D,SI2,1363
0.41,Premium,D,SI1,1015
0.3,Very Good,E,IF,1026
1.01,Ideal,G,VVS2,8252
0.4,Very Good,E,SI2,611
0.4,Premium,F,SI1,920
0.31,Very Good,H,SI1,446
0.39,Premium,G,VS2,787
0.71,Very Good,H,SI1,2210
1.11,Ideal,E,SI2,5262
1.02,Ideal,F,VS2,6479
0.33,Very Good,E,VS1,886
2.2,Premium,G,SI1,18193
2.02,Fair,H,SI2,14080
0.56,Very Good,F,SI1,1436
1.08,Ideal,D,VS1,9545
1.51,Premium,G,SI1,10739
1.15,Very Good,G,SI1,5538
1.25,Premium,I,VS2,5975
0.4,Ideal,G,VVS1,995
0.76,Premium,E,SI2,2688
1.01,Premium,E,VS1,7964
1.2,Premium,I,SI2,4989
1.34,Premium,J,VS2,5778
0.34,Premium,G,VS2,596
0.53,Ideal,F,SI1,1363
0.35,Very Good,G,IF,1001
0.23,Good,E,VVS1,462
1,Good,F,VS2,5606
2.04,Premium,H,SI2,15760
1.01,Very Good,I,SI1,4794
0.31,Very Good,H,IF,778
0.41,Good,I,VS1,969
1.11,Premium,F,VS2,7179
1.05,Premium,E,SI2,4939
0.51,Good,E,VS2,1424
0.38,Ideal,E,VVS2,1073
0.35,Ideal,I,SI2,580
0.72,Very Good,F,VVS2,3338
0.3,Ideal,E,SI1,499
0.31,Very Good,F,VS2,625
1.05,Ideal,G,VS2,7070
0.38,Premium,I,VS2,812
1,Premium,F,VS1,7056
0.32,Very Good,I,VS2,449
0.55,Very Good,D,SI2,1401
0.56,Premium,D,VS2,1963
0.31,Premium,F,SI1,663
0.33,Ideal,G,IF,946
1.72,Premium,H,SI2,10869
1.01,Premium,E,VS1,6670
2.02,Ideal,J,SI1,12713
1.05,Ideal,E,VS1,9160
0.24,Ideal,F,VVS2,540
0.39,Good,D,VVS2,1255
0.32,Ideal,D,SI1,756
0.32,Very Good,H,SI2,517
0.73,Ideal,H,SI1,2320
0.54,Premium,H,SI1,1240
0.52,Very Good,F,VS2,1607
0.5,Very Good,G,VVS2,1806
0.31,Ideal,E,VVS1,936
1.22,Very Good,I,SI2,5072
1.27,Good,J,VS1,5588
0.7,Good,E,VS1,3175
1.24,Premium,H,VS1,7222
1.01,Premium,E,SI1,5599
0.7,Very Good,D,SI1,3075
1.1,Very Good,G,SI1,4997
0.3,Very Good,E,VS2,658
1.51,Good,G,IF,14654
1.7,Ideal,F,VS2,17360
0.42,Ideal,G,IF,1289
0.36,Ideal,D,SI1,626
0.74,Very Good,F,SI2,2298
0.61,Ideal,G,VS2,2286
0.55,Ideal,F,VS1,1896
1,Very Good,I,VS2,4739
1.02,Ideal,H,SI2,4243
1,Premium,H,VS1,4732
0.33,Premium,F,VS2,854
0.31,Premium,F,VS2,802
1.16,Ideal,F,VS2,9432
1.17,Ideal,G,SI2,5743
0.62,Ideal,F,SI2,1364
0.31,Good,H,VS1,476
0.41,Very Good,H,VVS1,991
1.04,Very Good,F,VS1,7207
0.7,Ideal,F,SI1,2671
0.33,Very Good,H,VVS2,614
1.5,Good,J,VS1,8347
0.6,Ideal,F,VVS2,2298
1.2,Ideal,H,VS2,7190
0.31,Very Good,E,SI1,544
0.7,Good,D,SI1,2681
1.2,Premium,F,VS1,9370
0.37,Ideal,G,SI1,745
0.42,Premium,F,SI1,773
0.83,Ideal,J,VS2,2241
0.3,Ideal,D,SI1,552
0.32,Ideal,G,VVS1,732
0.34,Very Good,E,SI2,477
0.7,Very Good,G,VVS2,2905
0.88,Very Good,F,VVS2,5052
0.55,Ideal,H,VS1,1634
0.27,Ideal,H,VS1,464
1.14,Premium,G,SI2,4884
1.05,Ideal,I,SI1,4494
0.3,Very Good,J,VS2,473
1.5,Very Good,H,SI2,7365
1.91,Premium,G,SI2,9038
0.44,Premium,D,VS1,1232
1.07,Very Good,E,SI2,4609
0.5,Good,G,VVS2,1690
0.41,Premium,G,VS2,1061
0.7,Premium,I,VVS1,2536
0.38,Ideal,H,VVS2,1031
1.25,Ideal,E,VVS1,13536
0.5,Ideal,F,SI1,1374
0.24,Ideal,G,SI1,364
1.06,Very Good,E,SI2,4570
0.83,Premium,G,SI1,2863
0.3,Ideal,E,VVS2,766
0.6,Very Good,G,VVS1,2528
0.5,Fair,E,SI1,1176
0.9,Very Good,H,SI2,3295
0.3,Premium,H,VS1,675
0.31,Premium,I,SI1,593
1.56,Ideal,G,VS2,13787
0.71,Ideal,F,VS2,3123
1.51,Good,G,I1,3497
1.01,Ideal,E,VS1,7528
0.38,Ideal,H,VS2,680
2,Premium,H,SI2,12940
1.03,Premium,E,VS2,6460
0.52,Very Good,F,VS1,1748
0.39,Ideal,D,VS1,979
2,Premium,E,SI2,12987
0.3,Premium,H,VVS2,605
1.01,Premium,E,SI1,5599
0.31,Premium,G,VVS1,816
1.12,Ideal,D,VS2,8430
0.3,Ideal,F,VS2,605
0.4,Premium,F,VVS2,1088
0.9,Premium,G,SI1,3669
0.71,Premium,H,VS2,2363
0.54,Premium,G,SI1,1241
0.9,Ideal,D,SI1,4612
0.79,Very Good,H,SI2,2348
1.6,Ideal,F,SI1,13140
1.03,Very Good,G,SI2,4374
0.55,Premium,E,SI2,1134
0.8,Ideal,H,VVS1,3732
0.41,Ideal,I,VVS1,875
0.26,Premium,H,VS1,382
0.31,Very Good,G,VS2,544
1.09,Very Good,F,SI2,4629
0.3,Premium,D,VS2,911
1.11,Ideal,I,SI1,4273
0.62,Ideal,H,IF,2469
0.59,Premium,I,VVS1,1837
0.56,Ideal,F,VS2,1723
0.57,Very Good,D,IF,4032
1,Premium,F,SI1,5292
1.04,Ideal,G,VVS2,6173
0.7,Fair,E,SI1,2000
0.7,Ideal,E,SI1,2407
1.13,Premium,E,SI1,5012
1.51,Premium,D,VS1,17936
0.71,Very Good,E,SI1,2455
0.43,Premium,D,SI1,1064
0.55,Ideal,F,SI1,1368
1.54,Premium,G,SI2,8969
1,Very Good,E,SI2,4620
2.5,Fair,J,SI2,14652
1,Good,I,VS2,4761
1.01,Ideal,G,SI2,4783
1.02,Premium,D,SI2,4718
0.32,Premium,I,VS1,505
1.71,Good,J,SI2,7508
0.31,Ideal,H,VVS1,707
0.33,Ideal,G,IF,946
0.52,Very Good,E,SI1,1438
1.5,Ideal,H,SI1,11189
0.3,Premium,I,VS1,567
0.3,Premium,G,VVS2,878
0.5,Good,D,VS1,1795
0.52,Ideal,G,VVS1,2065
0.47,Good,E,VVS1,1613
1.3,Ideal,F,SI2,6559
0.31,Ideal,G,IF,871
0.34,Very Good,D,SI1,626
1.01,Ideal,F,SI2,3777
0.64,Ideal,D,VVS1,4281
0.31,Good,H,VS2,489
0.7,Premium,F,SI1,2196
0.7,Premium,F,VVS2,3062
1.17,Ideal,G,VVS2,9225
0.26,Very Good,E,VVS2,564
1,Good,E,VVS1,7084
0.4,Ideal,I,VS2,667
1,Fair,F,SI1,4657
0.47,Premium,G,VS2,1102
0.34,Ideal,F,VS1,745
0.33,Good,I,VVS2,579
0.52,Very Good,E,VS2,1670
1.02,Ideal,H,VVS2,6797
1.71,Premium,I,VS1,10055
1.01,Ideal,D,SI1,6257
1.4,Premium,H,SI1,8624
1.05,Ideal,G,SI1,5192
0.32,Ideal,E,IF,1018
1.21,Ideal,H,SI2,5624
1.14,Ideal,H,SI1,5501
0.4,Very Good,J,VS1,606
1.01,Very Good,I,SI1,4185
0.4,Premium,D,VS1,1200
1.52,Fair,J,SI2,5916
0.76,Premium,E,SI1,2814
0.5,Ideal,G,SI2,1011
0.28,Ideal,D,VVS1,780
1.11,Ideal,H,SI1,5315
0.38,Premium,H,VS2,700
1,Very Good,D,SI1,6040
0.56,Ideal,I,VVS1,1605
0.34,Premium,E,VVS2,995
0.82,Ideal,G,SI1,3123
1.04,Premium,F,SI2,4507
0.47,Ideal,H,IF,1865
1.02,Premium,H,VS2,5100
1.02,Very Good,D,SI1,6047
0.41,Premium,G,SI1,719
0.44,Very Good,E,VS1,1158
0.5,Premium,E,VS2,1654
1,Premium,J,SI1,3780
2.05,Premium,I,VS1,12766
0.75,Very Good,E,SI1,2698
0.95,Good,D,SI2,3214
0.51,Ideal,E,SI1,1438
0.3,Ideal,I,SI2,405
1.19,Very Good,H,VS1,7147
1,Fair,D,SI2,2974
1.6,Ideal,E,SI2,10798
0.38,Premium,F,SI1,838
0.33,Premium,D,VVS2,1002
0.8,Ideal,E,SI1,3630
1.5,Premium,H,IF,13107
0.3,Ideal,E,VVS1,956
0.3,Ideal,H,VVS2,605
0.27,Very Good,E,VVS2,620
0.46,Very Good,E,VS1,1417
1.51,Premium,H,SI2,8388
1.03,Premium,E,VS2,7192
0.33,Premium,H,VS2,668
1.01,Premium,H,SI1,4559
0.4,Ideal,D,VS2,1050
0.8,Ideal,E,VS2,3648
0.71,Very Good,G,VS2,2382
0.34,Premium,F,VS2,880
0.5,Good,D,SI1,1235
1.22,Ideal,F,VVS2,11870
0.59,Very Good,F,VS2,1764
0.78,Ideal,G,VS2,3613
1.21,Very Good,G,VVS2,9942
0.33,Very Good,G,VVS1,795
0.35,Ideal,J,VS1,478
1.19,Good,J,VS1,4931
1.25,Premium,H,VS1,8099
1.07,Premium,D,SI1,5704
0.75,Very Good,D,SI1,3048
1.51,Ideal,G,SI2,8794
2.3,Ideal,G,SI2,14744
0.72,Premium,F,SI1,2670
0.35,Premium,D,VS2,829
0.34,Good,H,VS2,689
1.01,Fair,G,VS2,4072
0.9,Very Good,D,SI2,3706
1,Good,D,SI2,4218
0.81,Ideal,E,VS2,4314
1.13,Ideal,H,SI1,5050
0.3,Ideal,D,VS2,616
0.31,Ideal,G,VVS1,1046
0.3,Very Good,H,VS1,675
1.23,Premium,I,SI2,4773
2.16,Premium,J,VVS1,17891
1.11,Ideal,I,SI1,4709
0.54,Premium,D,VS1,1847
1.02,Premium,D,VS2,6909
1.51,Premium,I,SI2,7577
0.73,Ideal,D,SI1,3195
1.03,Premium,I,VS1,5012
1.07,Very Good,F,VS1,7513
0.34,Ideal,D,SI1,626
0.5,Fair,G,VS1,1234
1.03,Good,J,I1,2220
0.4,Good,F,IF,1404
0.7,Premium,E,VS2,2818
1.52,Premium,J,VS1,8110
2.02,Premium,F,SI2,13267
0.4,Good,D,SI2,622
0.79,Ideal,E,VS2,3861
0.47,Premium,H,VS1,1244
0.33,Premium,E,SI2,463
1.21,Very Good,I,SI1,4404
0.51,Very Good,F,VS2,1601
1.01,Ideal,G,SI2,4803
0.77,Ideal,E,SI2,2519
1.01,Fair,E,VS2,4525
0.62,Very Good,H,VS2,1734
0.31,Ideal,I,VS2,421
2.04,Very Good,H,SI2,13790
0.41,Premium,E,SI1,705
1.26,Premium,F,VS1,10669
0.36,Ideal,D,VVS2,1033
0.71,Premium,G,VS2,2694
0.42,Ideal,G,SI1,882
0.31,Premium,H,VVS1,707
1,Premium,G,VS2,6048
0.31,Ideal,E,VS1,682
1.01,Premium,E,VS2,6843
0.71,Good,F,SI1,2396
1.02,Very Good,E,VS1,7779
0.73,Ideal,E,SI2,2581
0.4,Very Good,D,VS2,982
0.5,Fair,D,SI1,1323
1.28,Premium,I,VS2,6451
0.91,Good,F,SI2,3539
1.21,Very Good,I,VS1,5866
0.24,Very Good,I,VVS1,336
0.38,Very Good,D,VS1,995
0.9,Very Good,G,VS1,4358
0.8,Very Good,E,VS2,4263
0.28,Very Good,F,VS1,487
1.02,Ideal,G,VS2,6333
0.51,Premium,F,VS1,1836
0.72,Fair,E,VS2,2691
0.9,Premium,G,VS2,4022
1.22,Ideal,G,VS1,8313
0.4,Ideal,H,VS2,926
0.8,Premium,F,SI2,2371
0.71,Ideal,E,VS2,3247
0.7,Good,I,VVS2,2394
1.11,Very Good,H,VS2,5450
0.7,Very Good,D,SI2,2337
0.42,Very Good,D,SI1,756
0.36,Ideal,G,VS1,949
0.38,Very Good,F,VS1,988
1.02,Premium,F,VS1,7389
0.5,Ideal,D,VS1,2025
1.07,Ideal,F,VS2,8640
1.52,Premium,I,SI1,8631
0.7,Very Good,E,SI1,2575
1,Fair,D,SI1,5096
1.71,Very Good,F,VS2,17052
0.51,Premium,G,VS2,1343
0.3,Premium,F,VVS2,882
0.6,Premium,E,SI1,1625
1,Premium,D,VS2,6303
0.9,Premium,I,VS2,3398
0.7,Ideal,F,SI2,2171
0.52,Good,F,SI1,1244
1.23,Good,D,I1,3977
1.01,Good,G,SI2,4185
0.52,Ideal,I,VVS1,1454
0.38,Premium,H,VVS2,1069
2.01,Premium,H,SI1,16733
0.81,Fair,F,SI2,2031
0.55,Ideal,D,VS2,1768
0.36,Premium,J,SI1,410
1.51,Very Good,I,SI1,8637
0.43,Very Good,E,VS1,890
2.5,Fair,G,I1,7854
1.5,Very Good,G,VVS2,12798
1.51,Ideal,G,VS2,10553
0.34,Good,E,SI1,641
0.79,Premium,H,SI1,2275
1.07,Ideal,G,VS2,6040
1.05,Premium,F,SI2,4363
0.59,Very Good,H,SI2,1254
0.72,Premium,E,VS2,3078
0.93,Ideal,F,SI2,3941
0.71,Ideal,D,VS2,4029
0.3,Very Good,G,VVS2,684
0.58,Ideal,G,VS2,1641
0.74,Ideal,I,VS1,2631
0.56,Ideal,H,SI1,1270
0.4,Ideal,F,SI2,677
0.96,Fair,H,I1,1705
0.32,Ideal,G,VS1,828
0.34,Ideal,H,VS1,615
0.45,Ideal,J,VS2,672
1.01,Premium,H,SI2,4242
1.5,Premium,F,VS2,14486
0.35,Ideal,H,IF,984
1.5,Good,J,VVS2,8276
0.41,Ideal,E,SI2,818
1.24,Premium,D,VS2,9738
0.71,Ideal,J,SI1,1713
0.4,Ideal,F,VVS1,1128
0.26,Ideal,H,VS1,482
0.29,Very Good,G,VS2,471
1.28,Premium,H,SI1,6595
2.3,Ideal,I,SI2,16181
1.04,Very Good,I,SI1,4190
0.5,Ideal,I,SI1,982
1.39,Ideal,F,SI2,5021
0.51,Ideal,E,SI1,1546
0.36,Ideal,F,VS1,789
0.31,Premium,D,SI1,732
0.31,Ideal,G,VVS1,789
1,Very Good,F,SI2,4255
1.01,Premium,E,SI1,5599
0.9,Very Good,F,SI1,4119
1.02,Good,H,SI2,3427
1.01,Premium,H,SI2,4242
1.51,Good,H,VS1,10819
0.41,Good,I,VVS2,827
0.42,Ideal,F,VVS2,1221
1.21,Premium,J,VVS2,5431
0.25,Very Good,F,VVS2,575
0.5,Fair,G,I1,701
1.3,Ideal,F,VVS2,12734
0.39,Ideal,I,VVS2,849
0.4,Ideal,F,VS2,842
0.57,Premium,D,SI2,1012
1.2,Premium,E,SI2,5268
0.5,Fair,H,VS2,1122
0.71,Very Good,I,VVS2,2586
0.54,Ideal,E,VS2,1695
2.25,Very Good,H,SI2,14775
0.73,Very Good,F,VS2,2503
0.4,Premium,G,VS1,1125
1.51,Premium,G,VS2,16091
0.41,Very Good,D,VS2,1007
2.02,Ideal,G,VS2,18077
0.9,Very Good,H,VS2,4258
0.66,Ideal,D,VVS2,3103
0.56,Ideal,H,VVS1,1941
0.38,Ideal,E,VS1,1133
2.08,Ideal,H,SI2,15065
0.35,Ideal,E,VS2,984
0.34,Ideal,H,VS2,689
0.9,Very Good,F,VS2,4617
2.01,Premium,I,SI1,11646
1.2,Very Good,H,SI2,5280
0.4,Good,J,VS1,589
1.23,Ideal,H,SI2,5951
0.57,Ideal,F,VVS2,2402
1.13,Ideal,E,VVS2,11387
0.34,Very Good,I,SI1,459
1.51,Premium,J,VS2,7357
1.34,Ideal,D,SI1,8930
0.9,Very Good,I,SI2,3057
1.2,Good,D,VS2,8521
1.02,Premium,H,SI1,4558
0.31,Premium,H,VS1,698
0.38,Ideal,G,VVS1,973
1.21,Ideal,G,VS1,8616
0.3,Ideal,I,SI1,422
0.83,Ideal,F,SI1,3290
0.32,Premium,G,VS1,828
0.44,Premium,F,VS1,1155
0.52,Very Good,J,VS2,1141
0.26,Very Good,E,VVS1,657
1.5,Very Good,H,VS1,10584
1.06,Ideal,E,VS2,7788
0.9,Very Good,H,VS1,4234
0.37,Very Good,F,VS2,696
0.3,Very Good,H,VS1,526
0.36,Ideal,F,VVS2,828
0.31,Good,E,SI1,698
0.7,Ideal,E,SI1,2745
2.02,Premium,H,SI2,15996
0.45,Very Good,G,VVS1,1263
0.39,Premium,J,VVS1,921
1.31,Premium,G,VS2,8979
1.06,Premium,G,VVS2,7627
0.5,Ideal,D,VVS2,2376
1.01,Premium,G,SI1,4338
0.6,Very Good,E,SI2,1250
0.32,Ideal,E,VVS2,843
1.72,Very Good,E,SI2,11638
0.53,Ideal,D,SI1,1753
1,Very Good,H,SI1,4702
1.01,Premium,H,SI1,4707
0.91,Very Good,I,VS2,3994
0.57,Very Good,I,SI1,1180
1.25,Premium,H,VS1,7560
1.2,Premium,G,VVS2,9475
1.5,Ideal,G,VS2,13135
1.03,Premium,G,VS1,6659
0.42,Premium,E,SI1,992
0.7,Premium,H,SI2,2184
1.01,Premium,D,SI1,5543
1,Premium,G,VS2,6048
0.32,Ideal,E,VVS1,892
1.07,Ideal,F,SI2,5405
0.52,Premium,G,VS2,1577
0.31,Ideal,H,SI1,464
2.02,Premium,I,SI2,13117
0.7,Premium,D,SI1,2782
0.41,Premium,G,VVS2,1076
1.71,Good,E,SI1,12224
0.94,Premium,E,SI2,3758
0.58,Premium,E,SI1,1949
0.81,Ideal,H,SI1,3514
0.31,Ideal,D,SI1,548
2.11,Premium,J,SI2,12554
1.1,Very Good,F,I1,3678
1.51,Very Good,G,SI2,7154
1.01,Ideal,F,VVS2,8688
0.4,Ideal,I,VS2,727
0.31,Ideal,F,SI1,490
1.51,Good,I,VS1,8975
0.35,Ideal,D,SI1,827
1.09,Good,D,VS1,7493
1.01,Very Good,D,VVS2,10800
0.72,Premium,J,VS2,1944
1.06,Ideal,I,SI2,4270
1.04,Fair,E,SI2,4566
0.31,Ideal,H,VS2,646
0.3,Very Good,I,VVS1,709
0.3,Very Good,H,SI1,421
0.41,Ideal,F,VS1,1007
0.4,Ideal,G,SI1,873
1.52,Very Good,J,VS2,7109
1.38,Ideal,J,SI2,5765
0.71,Ideal,H,VVS2,2594
0.32,Premium,G,VS2,672
0.5,Premium,E,SI1,1410
0.41,Ideal,F,VS2,1107
0.52,Ideal,E,SI1,1555
0.44,Ideal,G,VVS1,1160
0.53,Good,J,VS2,1023
0.33,Ideal,H,VVS1,730
0.54,Ideal,E,SI2,1340
1.7,Premium,J,SI2,7650
1.1,Ideal,H,SI1,5636
0.54,Premium,H,VS1,1637
0.4,Ideal,I,VVS2,758
0.31,Ideal,G,VS2,562
1.12,Premium,G,VVS1,8561
1.2,Premium,F,SI1,6250
0.72,Ideal,G,SI1,2385
2,Good,I,SI2,11400
1.23,Ideal,F,SI2,5894
0.5,Premium,D,VS2,1752
1,Premium,G,VS2,5242
1.02,Ideal,H,SI2,4207
0.33,Ideal,E,VVS2,917
0.56,Very Good,E,VS2,1770
0.26,Very Good,H,VVS2,565
1.37,Premium,J,SI2,5156
0.5,Ideal,E,SI2,1154
0.74,Ideal,H,SI2,2289
1.72,Ideal,G,SI2,10268
1.7,Very Good,E,SI2,12030
2.05,Fair,I,VS1,17408
1.52,Ideal,H,VS1,11154
0.41,Ideal,J,VS2,613
1.06,Premium,D,SI2,4903
1.5,Fair,E,SI2,6922
1.51,Good,J,VS2,7062
2.39,Premium,I,VS1,17642
1.53,Very Good,H,VS2,11557
0.5,Very Good,E,SI2,1154
0.72,Premium,F,SI1,2030
0.7,Fair,F,VS2,2762
1.03,Very Good,E,SI2,4668
0.82,Very Good,E,SI2,2975
0.41,Ideal,E,VVS1,1367
1.01,Good,E,VS1,6509
0.32,Good,E,SI1,524
0.4,Premium,E,SI1,882
0.5,Ideal,F,SI2,1079
2,Very Good,J,VS1,13203
1.72,Premium,F,SI1,14892
0.71,Premium,H,SI1,2207
0.33,Ideal,G,VS1,666
0.53,Ideal,D,VS2,1783
0.38,Very Good,F,VS2,752
0.56,Ideal,H,VS1,1616
0.34,Ideal,F,VVS1,935
0.21,Premium,E,SI1,326
1.02,Fair,E,VS2,5350
0.53,Premium,G,VS2,1335
0.92,Premium,F,SI1,3967
0.35,Premium,E,VS1,921
0.63,Very Good,H,VVS2,1932
1.01,Very Good,H,SI1,4642
0.56,Premium,D,SI1,1865
1.15,Very Good,G,VS2,7175
0.33,Very Good,D,SI2,492
1,Fair,G,SI1,4295
0.71,Very Good,E,SI2,2375
0.71,Very Good,F,SI2,2147
0.56,Ideal,D,VS2,2066
0.35,Ideal,H,VVS1,1024
0.3,Very Good,G,VVS1,635
0.39,Very Good,E,SI2,650
1.73,Very Good,G,VS2,16807
0.28,Ideal,E,VVS2,828
0.38,Ideal,J,SI1,525
0.7,Ideal,G,VS1,3206
0.3,Ideal,E,VS2,844
2.09,Very Good,F,SI2,18509
0.36,Ideal,E,VS2,1013
1.22,Premium,I,SI1,5368
0.54,Premium,F,VS2,1786
0.31,Ideal,F,VS2,591
1.21,Good,E,VS2,9176
1.55,Ideal,F,VS2,14185
0.26,Very Good,D,VS1,420
1.22,Very Good,J,SI2,3443
0.43,Very Good,G,VS1,943
0.93,Ideal,H,SI1,3844
1.2,Ideal,H,SI1,6968
0.56,Ideal,F,VS1,1915
0.3,Premium,E,SI1,675
0.32,Ideal,E,VS2,900
0.75,Premium,H,SI1,2331
0.72,Ideal,E,VS1,3283
0.7,Ideal,E,VS2,2952
0.51,Very Good,H,VS2,1414
0.69,Ideal,H,SI1,1822
0.3,Ideal,G,IF,1025
0.53,Ideal,F,VS1,1830
1.01,Good,D,SI1,5443
0.33,Ideal,D,VS1,839
1.5,Good,H,SI2,7714
0.3,Good,E,VVS2,814
1.51,Ideal,D,SI1,12738
0.67,Ideal,G,SI1,1662
0.35,Ideal,D,VS2,907
0.61,Ideal,G,SI1,1579
0.91,Fair,E,VVS2,5430
1,Premium,H,SI2,4032
1.5,Good,G,I1,4731
0.9,Very Good,G,VVS1,4601
0.34,Ideal,E,SI1,765
1.02,Ideal,F,VS2,7026
1.5,Premium,F,VS2,14199
0.4,Very Good,F,VS2,867
